repository,repository_id,exact_head,head_state,default_branch,archived,fork,visibility,first_party,controller_relevance,transport_relevance,plant_relevance,state_relevance,evidence_relevance,supply_chain_relevance,agentic_tool_relevance,tcb_class,audit_depth,classification_status,justification,reviewer,review_date,review_attestation,review_status
sepahead/OllaMoMa-v2,915033564,b3b2b5ccd73b514d6458d494c773f4ada47dc21c,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/OpenHands,908348785,3dd39c59b6a7b5d9ef6cd6a3c8b564f9edadd43e,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/OpenViking,1184212942,d8c0219dd4b6f56740cae511f8946a66c2f5fd6e,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/Qwen-Agent,899143285,42751445becd5d3cb42aa744286f0e935c296e13,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/RAG_Techniques,869075524,eaa7805adb30a45e6f9fc2c2674d7ec14b847dd9,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/ReScience-submission,93335432,9675b7393804f7c3b9e32e533ac907dc24bd0e26,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/Scrapegraph-ai,901843620,bae92b0dcca353c137f8cdb12ef95b3bc2cd962a,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/StabilityMatrix,916443909,f7c5f1e722466f44b2e6600feb4f8943e254582d,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/SwiftUI-experiments,890149603,827657b44a8c016e6b4b1bcb2054c64a5d4ab70e,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/TorchFort,678138555,e06613d6feccc3d11c166f146abce7abdd85f1b3,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/TurboDiffusion,1117211133,26f99aadcae38232f3ad30fecceaac4679ed4fc7,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/WebAgent,1008654158,8c9032b92584cf47700820eef71ea6dc2d41c521,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/WorldWarp,1123955631,0396b801c278546d01a6618a18e5a5c2a154c0a1,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/XNOHub.com,885889875,bbede2d872047cd4e788af1ad864a9ff64a206a2,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/agent-protocol,891153955,b73bc7008788619bf363d87898fad531a7e99447,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/agent-twitter-client,912495763,ffcfed49c35b1130540c45eef95086a9fb6dff8a,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/agenticSeek,1042943562,308ba0e595b717bcd64ea4c3e4eff073defbfddc,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/agentops,898264232,7c9b7469c3d9ce7898f91fc8395ba82438eb87dc,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/aici,770683245,49d51dc0dac0944e31a6b49240ed3de0a2d5a451,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/aider,915124123,73c89e8c00d42c088f8f494388761cabf0dbf6a2,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
